EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 12-05-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, CASALECCHIO_CANALE (STAID: 17563).
Blended and updated with sources: 194648 197888 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194648,20051201,-9999,    9
194648,20051202,-9999,    9
194648,20051203,-9999,    9
194648,20051204,-9999,    9
194648,20051205,-9999,    9
194648,20051206,-9999,    9
194648,20051207,-9999,    9
194648,20051208,-9999,    9
194648,20051209,-9999,    9
194648,20051210,-9999,    9
194648,20051211,-9999,    9
194648,20051212,-9999,    9
194648,20051213,-9999,    9
194648,20051214,-9999,    9
194648,20051215,-9999,    9
194648,20051216,-9999,    9
194648,20051217,-9999,    9
194648,20051218,-9999,    9
194648,20051219,-9999,    9
194648,20051220,-9999,    9
194648,20051221,-9999,    9
194648,20051222,-9999,    9
194648,20051223,-9999,    9
194648,20051224,-9999,    9
194648,20051225,-9999,    9
194648,20051226,-9999,    9
194648,20051227,-9999,    9
194648,20051228,-9999,    9
194648,20051229,-9999,    9
194648,20051230,-9999,    9
194648,20051231,    2,    0
194648,20060101,    9,    0
194648,20060102,   33,    0
194648,20060103,   60,    0
194648,20060104,   39,    0
194648,20060105,   42,    0
194648,20060106,   39,    0
194648,20060107,   52,    0
194648,20060108,   38,    0
194648,20060109,   15,    0
194648,20060110,   16,    0
194648,20060111,   21,    0
194648,20060112,   18,    0
194648,20060113,   13,    0
194648,20060114,    6,    0
194648,20060115,    0,    0
194648,20060116,   13,    0
194648,20060117,   12,    0
194648,20060118,   21,    0
194648,20060119,    5,    0
194648,20060120,    1,    0
194648,20060121,   15,    0
194648,20060122,   35,    0
194648,20060123,   18,    0
194648,20060124,   -5,    0
194648,20060125,   -7,    0
194648,20060126,  -13,    0
194648,20060127,    9,    0
194648,20060128,   35,    0
194648,20060129,   46,    0
194648,20060130,   58,    0
194648,20060131,   76,    0
194648,20060201,   63,    0
194648,20060202,   63,    0
194648,20060203,   64,    0
194648,20060204,   50,    0
194648,20060205,   34,    0
194648,20060206,    9,    0
194648,20060207,    8,    0
194648,20060208,   31,    0
194648,20060209,   43,    0
194648,20060210,   40,    0
194648,20060211,   37,    0
194648,20060212,   32,    0
194648,20060213,   28,    0
194648,20060214,   37,    0
194648,20060215,   46,    0
194648,20060216,   42,    0
194648,20060217,   86,    0
194648,20060218,   88,    0
194648,20060219,   92,    0
194648,20060220,   88,    0
194648,20060221,   67,    0
194648,20060222,   74,    0
194648,20060223,   76,    0
194648,20060224,   54,    0
194648,20060225,   53,    0
194648,20060226,   68,    0
194648,20060227,   50,    0
194648,20060228,   40,    0
194648,20060301,   52,    0
194648,20060302,   45,    0
194648,20060303,   50,    0
194648,20060304,  110,    0
194648,20060305,  120,    0
194648,20060306,   54,    0
194648,20060307,   52,    0
194648,20060308,   65,    0
194648,20060309,   84,    0
194648,20060310,   84,    0
194648,20060311,   66,    0
194648,20060312,   31,    0
194648,20060313,   57,    0
194648,20060314,   50,    0
194648,20060315,   65,    0
194648,20060316,   51,    0
194648,20060317,   71,    0
194648,20060318,   62,    0
194648,20060319,   70,    0
194648,20060320,   82,    0
194648,20060321,   83,    0
194648,20060322,   88,    0
194648,20060323,  110,    0
194648,20060324,   95,    0
194648,20060325,  109,    0
194648,20060326,  139,    0
194648,20060327,  149,    0
194648,20060328,  152,    0
194648,20060329,  158,    0
194648,20060330,  149,    0
194648,20060331,  156,    0
194648,20060401,  144,    0
194648,20060402,  147,    0
194648,20060403,  144,    0
194648,20060404,  125,    0
194648,20060405,  133,    0
194648,20060406,   91,    0
194648,20060407,   87,    0
194648,20060408,  113,    0
194648,20060409,  141,    0
194648,20060410,  142,    0
194648,20060411,   95,    0
194648,20060412,  110,    0
194648,20060413,  127,    0
194648,20060414,  170,    0
194648,20060415,  159,    0
194648,20060416,  167,    0
194648,20060417,  155,    0
194648,20060418,  141,    0
194648,20060419,  147,    0
194648,20060420,  159,    0
194648,20060421,  170,    0
194648,20060422,  185,    0
194648,20060423,  195,    0
194648,20060424,  189,    0
194648,20060425,  186,    0
194648,20060426,  184,    0
194648,20060427,  155,    0
194648,20060428,  148,    0
194648,20060429,  157,    0
194648,20060430,  118,    0
194648,20060501,  143,    0
194648,20060502,  153,    0
194648,20060503,  160,    0
194648,20060504,  165,    0
194648,20060505,  156,    0
194648,20060506,  169,    0
194648,20060507,  175,    0
194648,20060508,  165,    0
194648,20060509,  133,    0
194648,20060510,  158,    0
194648,20060511,  169,    0
194648,20060512,  189,    0
194648,20060513,  201,    0
194648,20060514,  166,    0
194648,20060515,  190,    0
194648,20060516,  217,    0
194648,20060517,  226,    0
194648,20060518,  232,    0
194648,20060519,  233,    0
194648,20060520,  217,    0
194648,20060521,  226,    0
194648,20060522,  235,    0
194648,20060523,  211,    0
194648,20060524,  175,    0
194648,20060525,  183,    0
194648,20060526,  206,    0
194648,20060527,  232,    0
194648,20060528,  242,    0
194648,20060529,  195,    0
194648,20060530,  126,    0
194648,20060531,  137,    0
194648,20060601,  158,    0
194648,20060602,  136,    0
194648,20060603,  156,    0
194648,20060604,  188,    0
194648,20060605,  184,    0
194648,20060606,  166,    0
194648,20060607,  169,    0
194648,20060608,  176,    0
194648,20060609,  174,    0
194648,20060610,  204,    0
194648,20060611,  198,    0
194648,20060612,  196,    0
194648,20060613,  228,    0
194648,20060614,  247,    0
194648,20060615,  256,    0
194648,20060616,  245,    0
194648,20060617,  257,    0
194648,20060618,  257,    0
194648,20060619,  257,    0
194648,20060620,  268,    0
194648,20060621,  267,    0
194648,20060622,  278,    0
194648,20060623,  273,    0
194648,20060624,  271,    0
194648,20060625,  270,    0
194648,20060626,  282,    0
194648,20060627,  282,    0
194648,20060628,  282,    0
194648,20060629,  266,    0
194648,20060630,  270,    0
194648,20060701,  267,    0
194648,20060702,  253,    0
194648,20060703,  250,    0
194648,20060704,  247,    0
194648,20060705,  246,    0
194648,20060706,  238,    0
194648,20060707,  212,    0
194648,20060708,  237,    0
194648,20060709,  255,    0
194648,20060710,  266,    0
194648,20060711,  275,    0
194648,20060712,  278,    0
194648,20060713,  268,    0
194648,20060714,  270,    0
194648,20060715,  266,    0
194648,20060716,  245,    0
194648,20060717,  240,    0
194648,20060718,  245,    0
194648,20060719,  258,    0
194648,20060720,  281,    0
194648,20060721,  289,    0
194648,20060722,  297,    0
194648,20060723,  294,    0
194648,20060724,  291,    0
194648,20060725,  291,    0
194648,20060726,  284,    0
194648,20060727,  276,    0
194648,20060728,  277,    0
194648,20060729,  253,    0
194648,20060730,  274,    0
194648,20060731,  290,    0
194648,20060801,  268,    0
194648,20060802,  236,    0
194648,20060803,  220,    0
194648,20060804,  215,    0
194648,20060805,  220,    0
194648,20060806,  228,    0
194648,20060807,  252,    0
194648,20060808,  248,    0
194648,20060809,  223,    0
194648,20060810,  225,    0
194648,20060811,  204,    0
194648,20060812,  176,    0
194648,20060813,  190,    0
194648,20060814,  194,    0
194648,20060815,  217,    0
194648,20060816,  226,    0
194648,20060817,  254,    0
194648,20060818,  272,    0
194648,20060819,  226,    0
194648,20060820,  244,    0
194648,20060821,  232,    0
194648,20060822,  241,    0
194648,20060823,  242,    0
194648,20060824,  243,    0
194648,20060825,  226,    0
194648,20060826,  219,    0
194648,20060827,  210,    0
194648,20060828,  221,    0
194648,20060829,  224,    0
194648,20060830,  195,    0
194648,20060831,  200,    0
194648,20060901,  215,    0
194648,20060902,  226,    0
194648,20060903,  242,    0
194648,20060904,  266,    0
194648,20060905,  259,    0
194648,20060906,  265,    0
194648,20060907,  266,    0
194648,20060908,  232,    0
194648,20060909,  216,    0
194648,20060910,  198,    0
194648,20060911,  204,    0
194648,20060912,  203,    0
194648,20060913,  213,    0
194648,20060914,  205,    0
194648,20060915,  226,    0
194648,20060916,  184,    0
194648,20060917,  171,    0
194648,20060918,  201,    0
194648,20060919,  209,    0
194648,20060920,  215,    0
194648,20060921,  214,    0
194648,20060922,  212,    0
194648,20060923,  197,    0
194648,20060924,  191,    0
194648,20060925,  179,    0
194648,20060926,  187,    0
194648,20060927,  200,    0
194648,20060928,  194,    0
194648,20060929,  201,    0
194648,20060930,  203,    0
194648,20061001,  221,    0
194648,20061002,  224,    0
194648,20061003,  237,    0
194648,20061004,  209,    0
194648,20061005,  169,    0
194648,20061006,  164,    0
194648,20061007,  148,    0
194648,20061008,  158,    0
194648,20061009,  159,    0
194648,20061010,  158,    0
194648,20061011,  157,    0
194648,20061012,  154,    0
194648,20061013,  163,    0
194648,20061014,  153,    0
194648,20061015,  141,    0
194648,20061016,  137,    0
194648,20061017,  125,    0
194648,20061018,  122,    0
194648,20061019,  142,    0
194648,20061020,  143,    0
194648,20061021,  146,    0
194648,20061022,  158,    0
194648,20061023,  175,    0
194648,20061024,  218,    0
194648,20061025,  178,    0
194648,20061026,  169,    0
194648,20061027,  172,    0
194648,20061028,  163,    0
194648,20061029,  167,    0
194648,20061030,  158,    0
194648,20061031,  131,    0
194648,20061101,  151,    0
194648,20061102,  104,    0
194648,20061103,   71,    0
194648,20061104,   66,    0
194648,20061105,   77,    0
194648,20061106,  101,    0
194648,20061107,  108,    0
194648,20061108,  121,    0
194648,20061109,  126,    0
194648,20061110,  109,    0
194648,20061111,   82,    0
194648,20061112,   90,    0
194648,20061113,   90,    0
194648,20061114,  100,    0
194648,20061115,  108,    0
194648,20061116,  105,    0
194648,20061117,   96,    0
194648,20061118,  117,    0
194648,20061119,  115,    0
194648,20061120,  111,    0
194648,20061121,  108,    0
194648,20061122,   99,    0
194648,20061123,   88,    0
194648,20061124,  103,    0
194648,20061125,  101,    0
194648,20061126,  106,    0
194648,20061127,  103,    0
194648,20061128,  112,    0
194648,20061129,  112,    0
194648,20061130,  102,    0
194648,20061201,   83,    0
194648,20061202,   56,    0
194648,20061203,   74,    0
194648,20061204,   82,    0
194648,20061205,   96,    0
194648,20061206,  107,    0
194648,20061207,  112,    0
194648,20061208,  140,    0
194648,20061209,  130,    0
194648,20061210,   95,    0
194648,20061211,   63,    0
194648,20061212,   57,    0
194648,20061213,   59,    0
194648,20061214,   52,    0
194648,20061215,   57,    0
194648,20061216,   63,    0
194648,20061217,   72,    0
194648,20061218,   72,    0
194648,20061219,   61,    0
194648,20061220,   40,    0
194648,20061221,   42,    0
194648,20061222,   59,    0
194648,20061223,   30,    0
194648,20061224,   42,    0
194648,20061225,   45,    0
194648,20061226,   35,    0
194648,20061227,    7,    0
194648,20061228,   -6,    0
194648,20061229,   11,    0
194648,20061230,   23,    0
194648,20061231,   55,    0
194648,20070101,   52,    0
194648,20070102,   74,    0
194648,20070103,   90,    0
194648,20070104,   60,    0
194648,20070105,   62,    0
194648,20070106,   53,    0
194648,20070107,   60,    0
194648,20070108,   67,    0
194648,20070109,   75,    0
194648,20070110,   74,    0
194648,20070111,   74,    0
194648,20070112,   82,    0
194648,20070113,   49,    0
194648,20070114,   58,    0
194648,20070115,   66,    0
194648,20070116,   55,    0
194648,20070117,   69,    0
194648,20070118,   67,    0
194648,20070119,  117,    0
194648,20070120,   68,    0
194648,20070121,   81,    0
194648,20070122,   78,    0
194648,20070123,  115,    0
194648,20070124,   76,    0
194648,20070125,   50,    0
194648,20070126,   30,    0
194648,20070127,   51,    0
194648,20070128,   58,    0
194648,20070129,   60,    0
194648,20070130,   48,    0
194648,20070131,   45,    0
194648,20070201,   37,    0
194648,20070202,   51,    0
194648,20070203,   67,    0
194648,20070204,   43,    0
194648,20070205,   53,    0
194648,20070206,   52,    0
194648,20070207,   61,    0
194648,20070208,   72,    0
194648,20070209,   80,    0
194648,20070210,   89,    0
194648,20070211,   88,    0
194648,20070212,   64,    0
194648,20070213,  114,    0
194648,20070214,   96,    0
194648,20070215,   90,    0
194648,20070216,   80,    0
194648,20070217,   68,    0
194648,20070218,   67,    0
194648,20070219,   75,    0
194648,20070220,   86,    0
194648,20070221,  111,    0
194648,20070222,  109,    0
194648,20070223,  104,    0
194648,20070224,  111,    0
194648,20070225,   98,    0
194648,20070226,  103,    0
194648,20070227,  112,    0
194648,20070228,  108,    0
194648,20070301,   93,    0
194648,20070302,  149,    0
194648,20070303,  132,    0
194648,20070304,  144,    0
194648,20070305,  106,    0
194648,20070306,  123,    0
194648,20070307,  125,    0
194648,20070308,  113,    0
194648,20070309,  118,    0
194648,20070310,  106,    0
194648,20070311,   88,    0
194648,20070312,   93,    0
194648,20070313,  118,    0
194648,20070314,  131,    0
194648,20070315,  139,    0
194648,20070316,  135,    0
194648,20070317,  156,    0
194648,20070318,  159,    0
194648,20070319,  133,    0
194648,20070320,   52,    0
194648,20070321,   80,    0
194648,20070322,   68,    0
194648,20070323,   74,    0
194648,20070324,   91,    0
194648,20070325,   74,    0
194648,20070326,   79,    0
194648,20070327,   90,    0
194648,20070328,   95,    0
194648,20070329,   91,    0
194648,20070330,   85,    0
194648,20070331,  107,    0
194648,20070401,  117,    0
194648,20070402,  126,    0
194648,20070403,  134,    0
194648,20070404,  115,    0
194648,20070405,  124,    0
194648,20070406,  133,    0
194648,20070407,  153,    0
194648,20070408,  153,    0
194648,20070409,  166,    0
194648,20070410,  171,    0
194648,20070411,  174,    0
194648,20070412,  172,    0
194648,20070413,  164,    0
194648,20070414,  159,    0
194648,20070415,  172,    0
194648,20070416,  171,    0
194648,20070417,  166,    0
194648,20070418,  187,    0
194648,20070419,  159,    0
194648,20070420,  167,    0
194648,20070421,  174,    0
194648,20070422,  184,    0
194648,20070423,  206,    0
194648,20070424,  214,    0
194648,20070425,  197,    0
194648,20070426,  178,    0
194648,20070427,  177,    0
194648,20070428,  188,    0
194648,20070429,  204,    0
194648,20070430,  181,    0
194648,20070501,  176,    0
194648,20070502,  155,    0
194648,20070503,  151,    0
194648,20070504,  157,    0
194648,20070505,  154,    0
194648,20070506,  159,    0
194648,20070507,  189,    0
194648,20070508,  219,    0
194648,20070509,  238,    0
194648,20070510,  227,    0
194648,20070511,  224,    0
194648,20070512,  228,    0
194648,20070513,  238,    0
194648,20070514,  245,    0
194648,20070515,  201,    0
194648,20070516,  185,    0
194648,20070517,  190,    0
194648,20070518,  186,    0
194648,20070519,  190,    0
194648,20070520,  209,    0
194648,20070521,  230,    0
194648,20070522,  250,    0
194648,20070523,  256,    0
194648,20070524,  251,    0
194648,20070525,  254,    0
194648,20070526,  244,    0
194648,20070527,  214,    0
194648,20070528,  167,    0
194648,20070529,  153,    0
194648,20070530,  191,    0
194648,20070531,  193,    0
194648,20070601,  184,    0
194648,20070602,  156,    0
194648,20070603,  190,    0
194648,20070604,  194,    0
194648,20070605,  203,    0
194648,20070606,  189,    0
194648,20070607,  187,    0
194648,20070608,  198,    0
194648,20070609,  232,    0
194648,20070610,  245,    0
194648,20070611,  240,    0
194648,20070612,  211,    0
194648,20070613,  232,    0
194648,20070614,  250,    0
194648,20070615,  244,    0
194648,20070616,  239,    0
194648,20070617,  245,    0
194648,20070618,  250,    0
194648,20070619,  266,    0
194648,20070620,  272,    0
194648,20070621,  277,    0
194648,20070622,  259,    0
194648,20070623,  259,    0
194648,20070624,  253,    0
194648,20070625,  268,    0
194648,20070626,  245,    0
194648,20070627,  226,    0
194648,20070628,  228,    0
194648,20070629,  241,    0
194648,20070630,  246,    0
194648,20070701,  263,    0
194648,20070702,  253,    0
194648,20070703,  245,    0
194648,20070704,  233,    0
194648,20070705,  219,    0
194648,20070706,  250,    0
194648,20070707,  269,    0
194648,20070708,  275,    0
194648,20070709,  270,    0
194648,20070710,  232,    0
194648,20070711,  206,    0
194648,20070712,  230,    0
194648,20070713,  250,    0
194648,20070714,  269,    0
194648,20070715,  280,    0
194648,20070716,  295,    0
194648,20070717,  296,    0
194648,20070718,  300,    0
194648,20070719,  299,    0
194648,20070720,  309,    0
194648,20070721,  306,    0
194648,20070722,  290,    0
194648,20070723,  288,    0
194648,20070724,  270,    0
194648,20070725,  260,    0
194648,20070726,  267,    0
194648,20070727,  290,    0
194648,20070728,  295,    0
194648,20070729,  271,    0
194648,20070730,  264,    0
194648,20070731,  216,    0
194648,20070801,  224,    0
194648,20070802,  248,    0
194648,20070803,  233,    0
194648,20070804,  237,    0
194648,20070805,  237,    0
194648,20070806,  246,    0
194648,20070807,  270,    0
194648,20070808,  249,    0
194648,20070809,  207,    0
194648,20070810,  214,    0
194648,20070811,  239,    0
194648,20070812,  259,    0
194648,20070813,  259,    0
194648,20070814,  258,    0
194648,20070815,  273,    0
194648,20070816,  284,    0
194648,20070817,  270,    0
194648,20070818,  245,    0
194648,20070819,  253,    0
194648,20070820,  215,    0
194648,20070821,  187,    0
194648,20070822,  214,    0
194648,20070823,  199,    0
194648,20070824,  201,    0
194648,20070825,  230,    0
194648,20070826,  261,    0
194648,20070827,  269,    0
194648,20070828,  273,    0
194648,20070829,  264,    0
194648,20070830,  256,    0
194648,20070831,  203,    0
194648,20070901,  211,    0
194648,20070902,  215,    0
194648,20070903,  231,    0
194648,20070904,  177,    0
194648,20070905,  161,    0
194648,20070906,  178,    0
194648,20070907,  193,    0
194648,20070908,  201,    0
194648,20070909,  219,    0
194648,20070910,  216,    0
194648,20070911,  217,    0
194648,20070912,  201,    0
194648,20070913,  199,    0
194648,20070914,  210,    0
194648,20070915,  221,    0
194648,20070916,  221,    0
194648,20070917,  231,    0
194648,20070918,  236,    0
194648,20070919,  182,    0
194648,20070920,  165,    0
194648,20070921,  168,    0
194648,20070922,  182,    0
194648,20070923,  190,    0
194648,20070924,  192,    0
194648,20070925,  189,    0
194648,20070926,  182,    0
194648,20070927,  142,    0
194648,20070928,  146,    0
194648,20070929,  185,    0
194648,20070930,  176,    0
194648,20071001,  185,    0
194648,20071002,  192,    0
194648,20071003,  209,    0
194648,20071004,  214,    0
194648,20071005,  209,    0
194648,20071006,  192,    0
194648,20071007,  165,    0
194648,20071008,  153,    0
194648,20071009,  151,    0
194648,20071010,  149,    0
194648,20071011,  160,    0
194648,20071012,  167,    0
194648,20071013,  160,    0
194648,20071014,  133,    0
194648,20071015,  127,    0
194648,20071016,  130,    0
194648,20071017,  134,    0
194648,20071018,  138,    0
194648,20071019,  117,    0
194648,20071020,   90,    0
194648,20071021,   85,    0
194648,20071022,   95,    0
194648,20071023,  127,    0
194648,20071024,  104,    0
194648,20071025,   99,    0
194648,20071026,  127,    0
194648,20071027,  130,    0
194648,20071028,  137,    0
194648,20071029,  131,    0
194648,20071030,  120,    0
194648,20071031,  120,    0
194648,20071101,   98,    0
194648,20071102,   98,    0
194648,20071103,  107,    0
194648,20071104,  108,    0
194648,20071105,  105,    0
194648,20071106,  104,    0
194648,20071107,   96,    0
194648,20071108,  110,    0
194648,20071109,  106,    0
194648,20071110,  125,    0
194648,20071111,  140,    0
194648,20071112,  106,    0
194648,20071113,   69,    0
194648,20071114,   55,    0
194648,20071115,   43,    0
194648,20071116,   41,    0
194648,20071117,   51,    0
194648,20071118,   62,    0
194648,20071119,   51,    0
194648,20071120,   45,    0
194648,20071121,   57,    0
194648,20071122,   68,    0
194648,20071123,   79,    0
194648,20071124,  102,    0
194648,20071125,  107,    0
194648,20071126,   86,    0
194648,20071127,   85,    0
194648,20071128,   76,    0
194648,20071129,   73,    0
194648,20071130,   74,    0
194648,20071201,   69,    0
194648,20071202,   76,    0
194648,20071203,   96,    0
194648,20071204,   92,    0
194648,20071205,   81,    0
194648,20071206,   61,    0
194648,20071207,   68,    0
194648,20071208,   70,    0
194648,20071209,   59,    0
194648,20071210,   52,    0
194648,20071211,   30,    0
194648,20071212,   49,    0
194648,20071213,   52,    0
194648,20071214,   47,    0
194648,20071215,   27,    0
194648,20071216,   28,    0
194648,20071217,   20,    0
194648,20071218,   24,    0
194648,20071219,   30,    0
194648,20071220,   26,    0
194648,20071221,   29,    0
194648,20071222,   25,    0
194648,20071223,   40,    0
194648,20071224,   57,    0
194648,20071225,   48,    0
194648,20071226,   34,    0
194648,20071227,   27,    0
194648,20071228,   23,    0
194648,20071229,   16,    0
194648,20071230,    5,    0
194648,20071231,   31,    0
194648,20080101,   29,    0
194648,20080102,   34,    0
194648,20080103,   17,    0
194648,20080104,   21,    0
194648,20080105,   39,    0
194648,20080106,   55,    0
194648,20080107,   57,    0
194648,20080108,   54,    0
194648,20080109,   64,    0
194648,20080110,   71,    0
194648,20080111,   69,    0
194648,20080112,   97,    0
194648,20080113,   71,    0
194648,20080114,   85,    0
194648,20080115,   74,    0
194648,20080116,   88,    0
194648,20080117,   74,    0
194648,20080118,   79,    0
194648,20080119,   67,    0
194648,20080120,   37,    0
194648,20080121,   53,    0
194648,20080122,   55,    0
194648,20080123,   44,    0
194648,20080124,   42,    0
194648,20080125,   52,    0
194648,20080126,   59,    0
194648,20080127,   84,    0
194648,20080128,   86,    0
194648,20080129,   58,    0
194648,20080130,   70,    0
194648,20080131,   73,    0
194648,20080201,   61,    0
194648,20080202,   65,    0
194648,20080203,   65,    0
194648,20080204,   70,    0
194648,20080205,   73,    0
194648,20080206,   82,    0
194648,20080207,   78,    0
194648,20080208,   51,    0
194648,20080209,   43,    0
194648,20080210,   44,    0
194648,20080211,   37,    0
194648,20080212,   39,    0
194648,20080213,   43,    0
194648,20080214,   61,    0
194648,20080215,   71,    0
194648,20080216,   43,    0
194648,20080217,   29,    0
194648,20080218,   28,    0
194648,20080219,   74,    0
194648,20080220,   81,    0
194648,20080221,   77,    0
194648,20080222,   79,    0
194648,20080223,   81,    0
194648,20080224,   89,    0
194648,20080225,   75,    0
194648,20080226,   90,    0
194648,20080227,  101,    0
194648,20080228,   99,    0
194648,20080229,  121,    0
194648,20080301,  135,    0
194648,20080302,  194,    0
194648,20080303,  153,    0
194648,20080304,   93,    0
194648,20080305,   61,    0
194648,20080306,   50,    0
194648,20080307,   40,    0
194648,20080308,   75,    0
194648,20080309,  103,    0
194648,20080310,  115,    0
194648,20080311,  111,    0
194648,20080312,  138,    0
194648,20080313,  160,    0
194648,20080314,  104,    0
194648,20080315,  130,    0
194648,20080316,  136,    0
194648,20080317,  153,    0
194648,20080318,  119,    0
194648,20080319,   93,    0
194648,20080320,   82,    0
194648,20080321,  101,    0
194648,20080322,   96,    0
194648,20080323,   70,    0
194648,20080324,   74,    0
194648,20080325,   85,    0
194648,20080326,   90,    0
194648,20080327,   85,    0
194648,20080328,   92,    0
194648,20080329,  120,    0
194648,20080330,  128,    0
194648,20080331,  124,    0
194648,20080401,  138,    0
194648,20080402,  142,    0
194648,20080403,   93,    0
194648,20080404,  107,    0
194648,20080405,  118,    0
194648,20080406,  126,    0
194648,20080407,  160,    0
194648,20080408,  107,    0
194648,20080409,  128,    0
194648,20080410,  130,    0
194648,20080411,  159,    0
194648,20080412,  135,    0
194648,20080413,  126,    0
194648,20080414,  129,    0
194648,20080415,  101,    0
194648,20080416,  143,    0
194648,20080417,  137,    0
194648,20080418,  144,    0
194648,20080419,  145,    0
194648,20080420,  155,    0
194648,20080421,  134,    0
194648,20080422,  138,    0
194648,20080423,  171,    0
194648,20080424,  157,    0
194648,20080425,  167,    0
194648,20080426,  149,    0
194648,20080427,  147,    0
194648,20080428,  172,    0
194648,20080429,  141,    0
194648,20080430,  160,    0
194648,20080501,  174,    0
194648,20080502,  166,    0
194648,20080503,  182,    0
194648,20080504,  176,    0
194648,20080505,  150,    0
194648,20080506,  154,    0
194648,20080507,  169,    0
194648,20080508,  177,    0
194648,20080509,  189,    0
194648,20080510,  180,    0
194648,20080511,  168,    0
194648,20080512,  168,    0
194648,20080513,  181,    0
194648,20080514,  196,    0
194648,20080515,  201,    0
194648,20080516,  196,    0
194648,20080517,  190,    0
194648,20080518,  173,    0
194648,20080519,  164,    0
194648,20080520,  161,    0
194648,20080521,  158,    0
194648,20080522,  176,    0
194648,20080523,  190,    0
194648,20080524,  202,    0
194648,20080525,  208,    0
194648,20080526,  207,    0
194648,20080527,  218,    0
194648,20080528,  237,    0
194648,20080529,  213,    0
194648,20080530,  194,    0
194648,20080531,  215,    0
194648,20080601,  219,    0
194648,20080602,  210,    0
194648,20080603,  207,    0
194648,20080604,  185,    0
194648,20080605,  188,    0
194648,20080606,  195,    0
194648,20080607,  190,    0
194648,20080608,  190,    0
194648,20080609,  200,    0
194648,20080610,  219,    0
194648,20080611,  224,    0
194648,20080612,  191,    0
194648,20080613,  186,    0
194648,20080614,  146,    0
194648,20080615,  169,    0
194648,20080616,  191,    0
194648,20080617,  215,    0
194648,20080618,  209,    0
194648,20080619,  236,    0
194648,20080620,  257,    0
194648,20080621,  264,    0
194648,20080622,  276,    0
194648,20080623,  281,    0
194648,20080624,  274,    0
194648,20080625,  276,    0
194648,20080626,  277,    0
194648,20080627,  280,    0
194648,20080628,  262,    0
194648,20080629,  272,    0
194648,20080630,  274,    0
194648,20080701,  258,    0
194648,20080702,  261,    0
194648,20080703,  268,    0
194648,20080704,  275,    0
194648,20080705,  268,    0
194648,20080706,  275,    0
194648,20080707,  268,    0
194648,20080708,  253,    0
194648,20080709,  244,    0
194648,20080710,  263,    0
194648,20080711,  272,    0
194648,20080712,  269,    0
194648,20080713,  260,    0
194648,20080714,  223,    0
194648,20080715,  233,    0
194648,20080716,  255,    0
194648,20080717,  251,    0
194648,20080718,  229,    0
194648,20080719,  250,    0
194648,20080720,  264,    0
194648,20080721,  230,    0
194648,20080722,  213,    0
194648,20080723,  221,    0
194648,20080724,  239,    0
194648,20080725,  258,    0
194648,20080726,  256,    0
194648,20080727,  246,    0
194648,20080728,  262,    0
194648,20080729,  271,    0
194648,20080730,  279,    0
194648,20080731,  275,    0
194648,20080801,  281,    0
194648,20080802,  273,    0
194648,20080803,  282,    0
194648,20080804,  292,    0
194648,20080805,  291,    0
194648,20080806,  278,    0
194648,20080807,  263,    0
194648,20080808,  284,    0
194648,20080809,  250,    0
194648,20080810,  251,    0
194648,20080811,  263,    0
194648,20080812,  273,    0
194648,20080813,  289,    0
194648,20080814,  279,    0
194648,20080815,  258,    0
194648,20080816,  235,    0
194648,20080817,  240,    0
194648,20080818,  244,    0
194648,20080819,  256,    0
194648,20080820,  267,    0
194648,20080821,  262,    0
194648,20080822,  268,    0
194648,20080823,  253,    0
194648,20080824,  233,    0
194648,20080825,  228,    0
194648,20080826,  233,    0
194648,20080827,  232,    0
194648,20080828,  243,    0
194648,20080829,  259,    0
194648,20080830,  265,    0
194648,20080831,  251,    0
194648,20080901,  230,    0
194648,20080902,  239,    0
194648,20080903,  249,    0
194648,20080904,  262,    0
194648,20080905,  281,    0
194648,20080906,  285,    0
194648,20080907,  256,    0
194648,20080908,  229,    0
194648,20080909,  230,    0
194648,20080910,  250,    0
194648,20080911,  252,    0
194648,20080912,  258,    0
194648,20080913,  209,    0
194648,20080914,  161,    0
194648,20080915,  149,    0
194648,20080916,  170,    0
194648,20080917,  176,    0
194648,20080918,  185,    0
194648,20080919,  161,    0
194648,20080920,  166,    0
194648,20080921,  154,    0
194648,20080922,  153,    0
194648,20080923,  134,    0
194648,20080924,  140,    0
194648,20080925,  147,    0
194648,20080926,  146,    0
194648,20080927,  146,    0
194648,20080928,  135,    0
194648,20080929,  142,    0
194648,20080930,  155,    0
194648,20081001,  180,    0
194648,20081002,  182,    0
194648,20081003,  185,    0
194648,20081004,  132,    0
194648,20081005,  143,    0
194648,20081006,  164,    0
194648,20081007,  173,    0
